Day_of_week,Age_band_of_driver,Sex_of_driver,Type_of_vehicle,Area_accident_oc cured,Lanes_or_Medians,Types_of_Junction,Road_surface_conditions,Light_conditions,Weather_conditions,Number_of_vehicles_involved,Number_of_casualties,Sex_of_casualty,Cause_of_accident,Accident_severity
Monday,18-30,Male,Public,Office areas,Speed breaker,Y Shape,Moist,Night,Raining,3,3,Female,Overloading,Serious Injury
Monday,18-30,Male,Cycle,Residential areas,Speed breaker,Y Shape,Moist,Night,Raining,3,3,Female,Overspeed,Slight Injury
Tuesday,18-30,Male,Train,Residential areas,One way,Y Shape,Dry,Daylight,Normal,3,1,Male,Moving Backward,Serious Injury
Tuesday,Under 18,Male,Lorry,Highways,One way,Y Shape,Dry,Daylight,Normal,2,1,Female,Overspeed,Slight Injury
Thursday,18-30,Male,Train,Highways,Grass medians,Crossing,Dry,Snowy,Snow,1,1,Male,Overtaking,Serious Injury
Thursday,18-30,Male,Lorry,Industrial areas,Speed breaker,Y Shape,Flood,Snowy,Snow,2,1,Female,Overloading,Serious Injury
Thursday,31-50,Male,Public,Industrial areas,Grass medians,Y Shape,Flood,Snowy,Snow,2,1,Male,Overloading,Serious Injury
Wednesday,18-30,Male,Cycle,Residential areas,Speed breaker,Crossing,Flood,Snowy,Snow,2,3,Female,Overspeed,Slight Injury
Wednesday,18-30,Male,Taxi,Residential areas,Speed breaker,Crossing,Flood,Snowy,Snow,2,3,Female,Overspeed,Fatal injury
Wednesday,18-30,Female,Cycle,Office areas,Double carriageway ,Crossing,Flood,Snowy,Snow,2,3,Male,Overtaking,Fatal injury
Friday,18-30,Male,E-Bike,Market areas,Grass medians,No junction,Flood,Snowy,Snow,1,1,Female,Overloading,Fatal injury
Tuesday,Over 51,Female,Cycle,Highways,Speed breaker,No junction,Flood,Snowy,Snow,2,1,Male,Overspeed,Fatal injury
Tuesday,18-30,Male,Lorry,Industrial areas,Speed breaker,No junction,Flood,Snowy,Snow,2,1,Male,Overspeed,Fatal injury
Monday,18-30,Male,E-Bike,Residential areas,One way,Crossing,Flood,Snowy,Snow,1,1,Female,Overtaking,Fatal injury
Thursday,18-30,Male,E-Bike,Residential areas,Grass medians,No junction,Flood,Snowy,Snow,1,1,Male,Overspeed,Fatal injury
Thursday,18-30,Male,Lorry,Highways,Grass medians,No junction,Flood,Snowy,Snow,2,1,Female,Overloading,Fatal injury
Thursday,31-50,Female,E-Bike,Residential areas,Speed breaker,No junction,Flood,Snowy,Snow,3,1,Female,No distancing,Fatal injury
Saturday,Over 51,Male,E-Bike,Market areas,Grass medians,O Shape,Flood,Daylight,Snow,3,1,Female,Overspeed,Fatal injury
Saturday,18-30,Male,E-Bike,Market areas,Grass medians,O Shape,Flood,Daylight,Snow,3,1,Male,No distancing,Fatal injury
Friday,18-30,Male,Taxi,Office areas,Double carriageway ,Crossing,Flood,Night,Snow,3,2,Female,Overspeed,Fatal injury
Friday,Over 51,Male,Cycle,Residential areas,Grass medians,Crossing,Flood,Night,Snow,3,2,Female,Overspeed,Fatal injury
Friday,Over 51,Male,Cycle,Residential areas,Speed breaker,Crossing,Flood,Night,Snow,3,2,Female,Overspeed,Fatal injury
Sunday,Over 51,Male,E-Bike,Industrial areas,Speed breaker,No junction,Flood,Daylight,Snow,3,1,Female,Overtaking,Fatal injury
Sunday,31-50,Male,Taxi,Residential areas,Speed breaker,No junction,Flood,Daylight,Snow,3,1,Female,Overspeed,Fatal injury
Sunday,31-50,Male,Cycle,Highways,Speed breaker,No junction,Flood,Night,Snow,3,2,Female,Overtaking,Fatal injury
Sunday,18-30,Male,E-Bike,Office areas,Grass medians,No junction,Flood,Night,Snow,3,2,Male,Overspeed,Fatal injury
Wednesday,18-30,Male,Public,Office areas,Concrete barriers,Y Shape,Flood,Daylight,Snow,3,1,Male,No distancing,Slight Injury
Wednesday,18-30,Male,Public,Office areas,Concrete barriers,Y Shape,Flood,Snowy,Snow,3,1,Male,Overloading,Slight Injury
Friday,31-50,Male,Train,Highways,Grass medians,Y Shape,Flood,Snowy,Snow,1,1,Female,Overloading,Serious Injury
Friday,31-50,Male,Train,Highways,Grass medians,Crossing,Flood,Snowy,Snow,2,1,Female,Drunk driving,Slight Injury
Friday,31-50,Male,Taxi,Residential areas,Concrete barriers,Crossing,Flood,Snowy,Snow,3,1,Female,No distancing,Fatal injury
Monday,18-30,Male,Train,Highways,Concrete barriers,Crossing,Flood,Snowy,Snow,3,1,Female,Overloading,Fatal injury
Monday,18-30,Male,E-Bike,Highways,Grass medians,Crossing,Flood,Snowy,Snow,3,1,Male,Overtaking,Fatal injury
Tuesday,18-30,Male,E-Bike,Highways,Concrete barriers,O Shape,Flood,Snowy,Snow,3,1,Female,Overspeed,Fatal injury
Tuesday,31-50,Male,Aeroplane,Highways,Grass medians,O Shape,Flood,Snowy,Snow,3,1,Female,Overspeed,Fatal injury
Saturday,Over 51,Male,Taxi,Highways,Double carriageway ,No junction,Flood,Snowy,Snow,3,3,Male,Overspeed,Fatal injury
Saturday,31-50,Male,E-Bike,Highways,Concrete barriers,No junction,Flood,Snowy,Snow,3,3,Male,No distancing,Fatal injury
Saturday,31-50,Male,Train,Highways,Concrete barriers,No junction,Flood,Snowy,Snow,3,3,Female,Overspeed,Fatal injury
Saturday,18-30,Female,E-Bike,Highways,Grass medians,No junction,Flood,Snowy,Snow,3,3,Female,Overtaking,Fatal injury
Thursday,18-30,Male,Public,Industrial areas,Concrete barriers,No junction,Dry,Snowy,Snow,3,1,Male,Overspeed,Fatal injury
Thursday,31-50,Male,Cycle,Residential areas,Double carriageway ,No junction,Dry,Snowy,Normal,3,1,Female,No distancing,Fatal injury
Tuesday,18-30,Female,E-Bike,Highways,Concrete barriers,O Shape,Moist,Snowy,Raining,3,1,Female,Overloading,Fatal injury
Tuesday,Over 51,Male,Lorry,Office areas,Concrete barriers,O Shape,Moist,Snowy,Raining,3,1,Male,Overspeed,Fatal injury
Friday,18-30,Male,Cycle,Industrial areas,Double carriageway,Y Shape,Dry,Snowy,Normal,3,1,Female,Overloading,Fatal injury
Friday,31-50,Male,Public,Industrial areas,Double carriageway ,Y Shape,Dry,Snowy,Normal,3,1,Female,Overtaking,Fatal injury
Sunday,31-50,Male,Cycle,Highways,Concrete barriers,Y Shape,Snow,Snowy,Normal,3,1,Male,Overspeed,Fatal injury
Sunday,31-50,Male,Public,Market areas,Concrete barriers,Y Shape,Snow,Snowy,Normal,3,1,Female,Drunk driving,Fatal injury
Monday,Under 18,Female,Public,Office areas,One way,No junction,Snow,Snowy,Snow,3,1,Female,Drunk driving,Fatal injury
Monday,31-50,Male,E-Bike,Highways,Grass medians,No junction,Snow,Daylight,Snow,3,1,Female,Drunk driving,Fatal injury
Thursday,31-50,Female,Cycle,Market areas,Grass medians,O Shape,Snow,Daylight,Snow,3,1,Female,Overloading,Fatal injury
Thursday,18-30,Male,E-Bike,Office areas,Speed breaker,O Shape,Snow,Daylight,Snow,3,1,Male,No distancing,Fatal injury
Wednesday,18-30,Male,Lorry,Highways,Concrete barriers,No junction,Snow,Daylight,Snow,3,1,Female,Overspeed,Fatal injury
Wednesday,31-50,Male,Public,Office areas,Grass medians,No junction,Snow,Daylight,Snow,3,1,Male,Overspeed,Fatal injury
Monday,18-30,Male,Train,Office areas,Concrete barriers,Crossing,Snow,Night,Snow,3,1,Male,Overtaking,Fatal injury
Monday,31-50,Male,E-Bike,Highways,Double carriageway ,Crossing,Snow,Night,Snow,3,1,Female,Overspeed,Fatal injury
Thursday,31-50,Male,E-Bike,Office areas,Grass medians,No junction,Snow,Daylight,Snow,1,3,Male,Overtaking,Fatal injury
Thursday,31-50,Male,E-Bike,Residential areas,Grass medians,No junction,Dry,Daylight,Snow,1,3,Male,Overspeed,Fatal injury
Thursday,31-50,Male,Aeroplane,Highways,Concrete barriers,No junction,Dry,Daylight,Snow,1,3,Female,Overspeed,Fatal injury
Thursday,31-50,Male,Public,Office areas,Double carriageway ,No junction,Dry,Daylight,Snow,1,3,Female,Overspeed,Slight Injury
Tuesday,Over 51,Male,Train,Office areas,Grass medians,No junction,Dry,Daylight,Snow,1,1,Male,Overloading,Serious Injury
Wednesday,Over 51,Female,Cycle,Office areas,Speed breaker,No junction,Dry,Daylight,Snow,1,1,Female,Overspeed,Slight Injury
Sunday,31-50,Male,Cycle,Highways,Concrete barriers,Y Shape,Dry,Night,Snow,2,1,Female,Overloading,Slight Injury
Sunday,Under 18,Male,E-Bike,Highways,Grass medians,Y Shape,Dry,Night,Snow,2,1,Female,Overloading,Slight Injury
Wednesday,31-50,Male,Train,Industrial areas,Grass medians,Crossing,Moist,Night,Snow,2,1,Female,Overtaking,Serious Injury
Wednesday,31-50,Male,Lorry,Office areas,Double carriageway ,Crossing,Moist,Night,Snow,2,1,Male,Drunk driving,Serious Injury
Sunday,Over 51,Male,Taxi,Highways,Grass medians,O Shape,Dry,Daylight,Snow,1,2,Female,Overspeed,Slight Injury
Sunday,Over 51,Male,Train,Office areas,Grass medians,O Shape,Dry,Daylight,Snow,1,2,Female,No distancing,Slight Injury
Wednesday,Over 51,Female,Train,Office areas,Speed breaker,Crossing,Dry,Night,Snow,2,3,Female,Overspeed,Slight Injury
Wednesday,Over 51,Male,Aeroplane,Residential areas,Concrete barriers,Crossing,Dry,Night,Snow,2,3,Female,Overtaking,Slight Injury
Wednesday,31-50,Male,Aeroplane,Office areas,Concrete barriers,Crossing,Dry,Night,Snow,3,3,Female,Overspeed,Slight Injury
Monday,18-30,Female,Train,Residential areas,Grass medians,Y Shape,Dry,Daylight,Snow,3,1,Female,Overloading,Serious Injury
Monday,18-30,Male,Cycle,Office areas,Double carriageway ,Y Shape,Dry,Daylight,Snow,3,1,Female,No distancing,Serious Injury
Sunday,31-50,Male,E-Bike,Office areas,Double carriageway ,No junction,Dry,Daylight,Snow,3,1,Male,Moving Backward,Fatal injury
Sunday,31-50,Male,Lorry,Highways,Concrete barriers,No junction,Dry,Daylight,Snow,3,1,Male,Moving Backward,Fatal injury
Monday,18-30,Male,Aeroplane,Highways,Concrete barriers,No junction,Dry,Daylight,Snow,3,1,Female,No distancing,Slight Injury
Monday,18-30,Male,Lorry,Residential areas,Concrete barriers,No junction,Dry,Daylight,Snow,3,1,Female,No distancing,Fatal injury
Sunday,Over 51,Male,E-Bike,Highways,Concrete barriers,Crossing,Dry,Daylight,Snow,3,1,Male,No distancing,Fatal injury
Sunday,Over 51,Male,Taxi,Highways,Double carriageway ,Crossing,Snow,Daylight,Snow,3,1,Female,Overspeed,Fatal injury
Thursday,18-30,Male,Lorry,Residential areas,Double carriageway ,Y Shape,Snow,Daylight,Snow,3,1,Female,Overspeed,Fatal injury
Thursday,18-30,Male,Public,Office areas,Concrete barriers,Y Shape,Snow,Daylight,Snow,3,1,Female,Overloading,Fatal injury
Thursday,31-50,Male,Train,Office areas,Concrete barriers,Y Shape,Snow,Daylight,Snow,3,1,Female,Overtaking,Fatal injury
Sunday,18-30,Female,E-Bike,Residential areas,Concrete barriers,No junction,Snow,Night,Snow,3,1,Male,Overspeed,Fatal injury
Sunday,Over 51,Male,E-Bike,Highways,Speed breaker,No junction,Snow,Night,Snow,3,1,Female,Overspeed,Fatal injury
Thursday,18-30,Male,Aeroplane,Highways,Concrete barriers,Y Shape,Snow,Night,Snow,3,2,Female,No distancing,Fatal injury
Thursday,31-50,Male,Cycle,Office areas,Concrete barriers,Y Shape,Snow,Night,Snow,3,2,Female,Overspeed,Fatal injury
Monday,18-30,Male,Train,Highways,Concrete barriers,Y Shape,Snow,Night,Snow,3,1,Female,Overloading,Fatal injury
Monday,18-30,Male,Public,Highways,Concrete barriers,Y Shape,Snow,Night,Snow,3,1,Male,Overloading,Fatal injury
Monday,18-30,Male,Public,Highways,Concrete barriers,Crossing,Snow,Daylight,Snow,3,1,Male,No distancing,Fatal injury
Monday,Over 51,Male,Aeroplane,Residential areas,Concrete barriers,Crossing,Snow,Daylight,Snow,2,1,Female,No distancing,Fatal injury
Monday,31-50,Female,Aeroplane,Highways,Grass medians,Crossing,Snow,Daylight,Snow,1,1,Male,Drunk driving,Slight Injury
Thursday,Under 18,Male,Aeroplane,Highways,Grass medians,No junction,Snow,Foggy,Snow,1,3,Female,Drunk driving,Serious Injury
Thursday,Under 18,Male,Public,Highways,One way,No junction,Snow,Foggy,Snow,1,3,Male,Overspeed,Serious Injury
Thursday,Under 18,Male,Lorry,Residential areas,Concrete barriers,No junction,Snow,Foggy,Snow,1,3,Female,Overspeed,Serious Injury
Thursday,Under 18,Male,Aeroplane,Office areas,One way,No junction,Snow,Foggy,Snow,1,3,Female,Overspeed,Serious Injury
Monday,Over 51,Male,Public,Industrial areas,Concrete barriers,Y Shape,Snow,Snowy,Snow,3,1,Female,Overspeed,Slight Injury
Monday,31-50,Female,Aeroplane,Residential areas,Double carriageway ,Y Shape,Snow,Snowy,Snow,3,1,Male,Overspeed,Slight Injury
Monday,31-50,Male,Train,Office areas,Double carriageway,Y Shape,Snow,Snowy,Snow,3,1,Female,Moving Backward,Fatal injury
Friday,18-30,Male,Aeroplane,Highways,Concrete barriers,Crossing,Dry,Daylight,Snow,2,1,Female,No distancing,Fatal injury
Friday,31-50,Male,Aeroplane,Highways,Speed breaker,Crossing,Dry,Daylight,Snow,2,1,Female,Moving Backward,Fatal injury
Monday,31-50,Female,Aeroplane,Industrial areas,Concrete barriers,Crossing,Dry,Daylight,Snow,1,1,Female,Overspeed,Fatal injury
Friday,18-30,Male,Taxi,Industrial areas,One way,No junction,Dry,Daylight,Snow,1,1,Male,Overspeed,Fatal injury
Saturday,Under 18,Female,E-Bike,Market areas,Grass medians,Crossing,Dry,Night,Normal,2,3,Female,No distancing,Fatal injury
Saturday,18-30,Female,Aeroplane,Highways,Concrete barriers,Crossing,Dry,Night,Normal,2,3,Female,Overspeed,Fatal injury
Saturday,18-30,Male,Lorry,Highways,Concrete barriers,Crossing,Dry,Night,Normal,2,3,Male,Overloading,Fatal injury
Saturday,18-30,Male,Public,Industrial areas,Concrete barriers,Crossing,Dry,Night,Normal,2,3,Female,No distancing,Fatal injury
Wednesday,31-50,Male,E-Bike,Highways,Concrete barriers,No junction,Moist,Night,Raining,2,1,Male,Overspeed,Fatal injury
Wednesday,18-30,Male,Taxi,Office areas,Speed breaker,No junction,Moist,Night,Raining,2,1,Female,No distancing,Fatal injury
Friday,18-30,Male,Lorry,Highways,Speed breaker,Y Shape,Dry,Daylight,Normal,3,1,Female,Overspeed,Fatal injury
Friday,31-50,Male,Public,Office areas,Concrete barriers,Y Shape,Dry,Daylight,Snow,3,1,Female,Overloading,Fatal injury
Friday,18-30,Male,Aeroplane,Office areas,Grass medians,Y Shape,Dry,Daylight,Snow,3,1,Male,Overspeed,Slight Injury
Tuesday,18-30,Male,Lorry,Highways,Speed breaker,O Shape,Dry,Daylight,Snow,1,1,Female,Overspeed,Serious Injury
Monday,Under 18,Female,Taxi,Highways,Speed breaker,Crossing,Dry,Daylight,Snow,2,1,Female,Overtaking,Slight Injury
Monday,Over 51,Male,Aeroplane,Highways,Grass medians,Crossing,Dry,Daylight,Snow,2,1,Female,Drunk driving,Slight Injury
Saturday,31-50,Male,Lorry,Highways,Speed breaker,No junction,Moist,Daylight,Snow,1,1,Male,Drunk driving,Slight Injury
Sunday,18-30,Male,Taxi,Residential areas,Grass medians,No junction,Dry,Night,Snow,1,3,Female,Overspeed,Slight Injury
Sunday,18-30,Male,E-Bike,Highways,Grass medians,No junction,Dry,Night,Snow,1,3,Male,Drunk driving,Slight Injury
Sunday,18-30,Male,E-Bike,Office areas,Double carriageway ,No junction,Dry,Night,Normal,1,3,Male,Overspeed,Slight Injury
Wednesday,31-50,Male,Train,Highways,Speed breaker,Crossing,Dry,Daylight,Normal,1,1,Female,Overspeed,Slight Injury
Saturday,Under 18,Male,Aeroplane,Highways,Concrete barriers,Y Shape,Moist,Night,Raining,2,1,Male,Overspeed,Slight Injury
Saturday,18-30,Male,Lorry,Highways,Speed breaker,Y Shape,Moist,Night,Raining,2,1,Male,Overloading,Slight Injury
Friday,31-50,Male,Lorry,Market areas,Speed breaker,No junction,Moist,Foggy,Normal,1,1,Male,Moving Backward,Serious Injury
Saturday,18-30,Female,Train,Office areas,Concrete barriers,Crossing,Dry,Daylight,Normal,1,1,Male,Overspeed,Slight Injury
Friday,31-50,Male,Train,Highways,Speed breaker,No junction,Dry,Night,Normal,1,1,Female,Overloading,Slight Injury
Friday,31-50,Male,Public,Office areas,Grass medians,Crossing,Moist,Night,Raining,2,1,Female,Overspeed,Serious Injury
Friday,31-50,Male,E-Bike,Highways,Grass medians,Crossing,Moist,Night,Raining,2,1,Male,Overspeed,Serious Injury
Thursday,Under 18,Male,Public,Highways,Concrete barriers,No junction,Moist,Night,Normal,1,2,Male,Overspeed,Serious Injury
Thursday,Under 18,Male,Lorry,Office areas,Grass medians,No junction,Moist,Night,Normal,1,2,Female,Overloading,Serious Injury
Friday,18-30,Female,E-Bike,Highways,Double carriageway ,Y Shape,Moist,Night,Raining,1,3,Female,Overloading,Slight Injury
Friday,18-30,Male,Lorry,Highways,Speed breaker,Y Shape,Moist,Night,Raining,1,3,Male,Overspeed,Slight Injury
Friday,18-30,Male,Lorry,Office areas,Concrete barriers,Y Shape,Moist,Night,Raining,1,3,Male,Overtaking,Slight Injury
Friday,18-30,Female,Taxi,Office areas,Concrete barriers,Y Shape,Moist,Night,Raining,1,3,Female,Overloading,Fatal injury
Saturday,18-30,Male,Aeroplane,Highways,Grass medians,Y Shape,Dry,Daylight,Normal,1,1,Male,No distancing,Fatal injury
Friday,Under 18,Male,E-Bike,Residential areas,Grass medians,Crossing,Moist,Daylight,Raining,1,1,Male,Overspeed,Fatal injury
Sunday,18-30,Male,E-Bike,Residential areas,Grass medians,Y Shape,Dry,Night,Normal,2,2,Female,Overloading,Fatal injury
Sunday,31-50,Male,Train,Highways,Concrete barriers,Y Shape,Dry,Night,Normal,2,2,Male,Overloading,Fatal injury
Sunday,31-50,Male,Aeroplane,Highways,Speed breaker,Y Shape,Dry,Night,Normal,2,2,Male,Overtaking,Fatal injury
Sunday,18-30,Male,E-Bike,Office areas,Concrete barriers,No junction,Moist,Night,Cloudy,2,1,Female,Overspeed,Fatal injury
Sunday,18-30,Male,Lorry,Market areas,Double carriageway ,No junction,Moist,Night,Cloudy,3,1,Male,Drunk driving,Fatal injury
Saturday,Under 18,Female,Train,Highways,Concrete barriers,Y Shape,Dry,Daylight,Cloudy,3,2,Male,Overtaking,Fatal injury
Saturday,31-50,Male,Train,Highways,Concrete barriers,Y Shape,Dry,Daylight,Cloudy,3,2,Male,Overspeed,Fatal injury
Saturday,31-50,Male,E-Bike,Highways,Concrete barriers,Y Shape,Dry,Daylight,Cloudy,3,2,Female,Moving Backward,Fatal injury
Saturday,Under 18,Male,Cycle,Office areas,Concrete barriers,Y Shape,Moist,Night,Raining,3,1,Male,Overspeed,Fatal injury
Saturday,Under 18,Male,E-Bike,Highways,Concrete barriers,Y Shape,Moist,Night,Raining,3,1,Female,Overspeed,Fatal injury
Friday,Under 18,Male,Public,Residential areas,Double carriageway ,Y Shape,Dry,Night,Normal,3,2,Male,Overspeed,Fatal injury
Friday,31-50,Male,Public,Office areas,Concrete barriers,Y Shape,Dry,Night,Normal,3,2,Female,Overloading,Fatal injury
Monday,Over 51,Male,Aeroplane,Office areas,Grass medians,Crossing,Moist,Foggy,Normal,3,3,Male,Overloading,Fatal injury
Monday,31-50,Male,E-Bike,Office areas,Concrete barriers,Crossing,Moist,Foggy,Normal,3,3,Female,Overloading,Fatal injury
Monday,31-50,Male,E-Bike,Highways,Concrete barriers,Crossing,Moist,Foggy,Normal,3,3,Male,Drunk driving,Fatal injury
Tuesday,18-30,Male,Public,Office areas,Concrete barriers,Crossing,Moist,Night,Normal,3,1,Female,Overtaking,Fatal injury
Tuesday,18-30,Male,Public,Office areas,Concrete barriers,Crossing,Moist,Night,Normal,3,1,Female,Moving Backward,Fatal injury
Saturday,Over 51,Male,E-Bike,Office areas,Concrete barriers,No junction,Moist,Night,Raining,3,1,Female,Drunk driving,Fatal injury
Saturday,18-30,Male,Aeroplane,Office areas,Concrete barriers,No junction,Moist,Night,Raining,3,1,Male,Moving Backward,Fatal injury
Sunday,31-50,Male,Taxi,Highways,Concrete barriers,Y Shape,Dry,Night,Normal,3,1,Female,No distancing,Fatal injury
Sunday,31-50,Female,Lorry,Residential areas,Double carriageway ,Y Shape,Dry,Night,Snow,3,1,Female,Overspeed,Fatal injury
Monday,Over 51,Male,E-Bike,Highways,Grass medians,Y Shape,Dry,Daylight,Snow,3,2,Male,Overspeed,Fatal injury
Monday,Over 51,Male,E-Bike,Highways,Concrete barriers,Y Shape,Dry,Daylight,Snow,3,2,Female,Overloading,Fatal injury
Monday,18-30,Female,Lorry,Industrial areas,Concrete barriers,Y Shape,Dry,Daylight,Snow,3,2,Female,Overspeed,Fatal injury
Sunday,31-50,Male,Cycle,Highways,Concrete barriers,Crossing,Moist,Night,Normal,3,1,Male,No distancing,Fatal injury
Sunday,Over 51,Male,Aeroplane,Industrial areas,Grass medians,Crossing,Moist,Night,Normal,3,1,Female,Overspeed,Fatal injury
Saturday,18-30,Male,E-Bike,Highways,Concrete barriers,Crossing,Moist,Night,Raining,3,1,Male,No distancing,Fatal injury
Saturday,18-30,Male,E-Bike,Highways,Speed breaker,Crossing,Moist,Night,Raining,3,1,Female,Moving Backward,Fatal injury
Tuesday,18-30,Male,E-Bike,Highways,Speed breaker,Y Shape,Moist,Daylight,Normal,3,1,Female,No distancing,Fatal injury
Tuesday,31-50,Male,E-Bike,Highways,Grass medians,Y Shape,Moist,Daylight,Normal,2,1,Male,Moving Backward,Fatal injury
Wednesday,31-50,Male,Lorry,Highways,Concrete barriers,No junction,Moist,Daylight,Cloudy,1,1,Male,Overspeed,Fatal injury
Wednesday,31-50,Male,Aeroplane,Highways,One way,No junction,Moist,Daylight,Raining,2,3,Female,Overtaking,Fatal injury
Wednesday,31-50,Male,Taxi,Industrial areas,Concrete barriers,No junction,Moist,Daylight,Raining,2,3,Female,No distancing,Fatal injury
Wednesday,31-50,Male,Train,Highways,Grass medians,No junction,Moist,Daylight,Raining,2,3,Female,Overspeed,Fatal injury
Thursday,18-30,Male,Aeroplane,Office areas,Grass medians,Y Shape,Dry,Daylight,Normal,2,1,Male,No distancing,Fatal injury
Thursday,18-30,Male,Taxi,Highways,Concrete barriers,Y Shape,Dry,Daylight,Normal,2,1,Male,Overspeed,Fatal injury
Friday,Under 18,Female,Train,Office areas,Concrete barriers,Y Shape,Moist,Night,Normal,3,1,Female,Moving Backward,Fatal injury
Friday,31-50,Male,Lorry,Office areas,Grass medians,Y Shape,Moist,Night,Normal,3,1,Female,Overspeed,Fatal injury
Friday,Over 51,Female,E-Bike,Highways,Grass medians,Y Shape,Moist,Night,Normal,3,1,Male,No distancing,Slight Injury
Friday,31-50,Male,Cycle,Residential areas,Concrete barriers,No junction,Moist,Night,Normal,1,1,Female,Overspeed,Serious Injury
Monday,18-30,Male,E-Bike,Office areas,Concrete barriers,No junction,Moist,Night,Raining,2,1,Male,Overspeed,Serious Injury
Monday,18-30,Male,E-Bike,Residential areas,Speed breaker,No junction,Moist,Night,Raining,2,1,Male,Overspeed,Serious Injury
Wednesday,18-30,Male,Aeroplane,Residential areas,Concrete barriers,No junction,Moist,Foggy,Cloudy,2,3,Female,Overspeed,Slight Injury
Wednesday,18-30,Female,Cycle,Highways,Double carriageway ,No junction,Moist,Foggy,Cloudy,2,3,Female,Overtaking,Slight Injury
Wednesday,18-30,Male,Train,Market areas,One way,No junction,Moist,Foggy,Cloudy,2,3,Male,Overspeed,Slight Injury
Wednesday,Over 51,Male,E-Bike,Highways,Grass medians,Y Shape,Moist,Night,Raining,1,1,Female,Overloading,Slight Injury
Monday,18-30,Male,E-Bike,Highways,Grass medians,O Shape,Moist,Night,Raining,1,1,Male,Overloading,Serious Injury
Monday,18-30,Male,E-Bike,Industrial areas,One way,Y Shape,Dry,Daylight,Normal,1,1,Female,No distancing,Slight Injury
Monday,Under 18,Female,Taxi,Highways,Grass medians,Y Shape,Moist,Night,Raining,1,1,Female,No distancing,Slight Injury
Wednesday,Over 51,Male,Lorry,Highways,Grass medians,No junction,Dry,Daylight,Normal,1,1,Female,Overtaking,Slight Injury
Tuesday,Under 18,Female,Lorry,Highways,Grass medians,Crossing,Moist,Foggy,Normal,1,1,Male,Overloading,Slight Injury
Friday,18-30,Female,E-Bike,Office areas,Concrete barriers,Crossing,Moist,Night,Raining,2,1,Male,Overspeed,Slight Injury
Friday,18-30,Male,Lorry,Highways,Concrete barriers,Crossing,Moist,Night,Raining,3,1,Female,Overtaking,Slight Injury
Wednesday,18-30,Male,Lorry,Residential areas,Concrete barriers,Crossing,Moist,Foggy,Raining,3,1,Female,Overspeed,Slight Injury
Wednesday,18-30,Male,Lorry,Highways,Grass medians,Crossing,Moist,Foggy,Raining,3,1,Male,Moving Backward,Slight Injury
Friday,31-50,Female,Lorry,Highways,Grass medians,No junction,Moist,Daylight,Normal,3,1,Female,Drunk driving,Serious Injury
Friday,18-30,Male,E-Bike,Highways,Grass medians,No junction,Moist,Daylight,Normal,3,1,Female,No distancing,Serious Injury
